Name of Facility,municipali,barangay,admin2,admin3,type,X,Y,admin2_X,admin2_Y,lon,lat,RHU  / Hospital,Province,Utrasound machine,Utrasound machine NOTE,Anesthesia machine,Anesthesia machine NOTE,Ventilator (portable),Ventilator (portable) NOTE,Respirator (portable),Respirator (portable) NOTE,ECG machine,ECG machine NOTE,Generator 6KVA,Generator 6KVA NOTE,Std Eqpt for RHU,Std Eqpt for RHU NOTE,OB/Del kits,OB/Del kits NOTE,First Aid kits,First Aid kits NOTE
 Anibong RHU , Tacloban City , -   , PH083747000 ,#N/A, health_facility ,124.930415,11.298227,124.930415,11.298227,124.9900389,11.25141713, R ,,,,,,,,,,,,,,,,,,,
 Diit RHU , Tacloban City , -   , PH083747000 ,#N/A, health_facility ,124.930415,11.298227,124.930415,11.298227,124.9645686,11.26276031, R ,,,,,,,,,,,,,,,,,,,
 Dona Feliza Mejia DHC , Ormoc City , -   , PH083738000 ,#N/A, health_facility ,124.635704,11.055246,124.635704,11.055246,124.6357044,11.05524601, R ,,,,,,,,,,,,,,,,,,,
 Nula Tula RHU , Tacloban City , Nula-tula , PH083747000 , PH083747008 , health_facility ,124.976536,11.243952,124.930415,11.298227,124.9729586,11.25345852, R ,,,,,,,,,,,,,,,,,,,
 Sagkahan RHU , Tacloban City , -   , PH083747000 ,#N/A, health_facility ,124.930415,11.298227,124.930415,11.298227,124.9867344,11.22917143, R ,,,,,,,,,,,,,,,,,,,
 San Jose RHU , Tacloban City , -   , PH083747000 ,#N/A, health_facility ,124.930415,11.298227,124.930415,11.298227,125.0231802,11.2060084, R ,,,,,,,,,,,,,,,,,,,
 San Pablo DHC  , Ormoc City , -   , PH083738000 ,#N/A, health_facility ,124.635704,11.055246,124.635704,11.055246,124.6357044,11.05524601, R ,,,,,,,,,,,,,,,,,,,
 Suhi RHU , Tacloban City , -   , PH083747000 ,#N/A, health_facility ,124.930415,11.298227,124.930415,11.298227,124.9541616,11.31793352, R ,,,,,,,,,,,,,,,,,,,
 Sulangan (Guiuan) RHU , GUIUAN , -   , PH082609000 ,#N/A, health_facility ,125.779935,10.715523,125.779935,10.715523,125.8269095,10.93678863, R ,,,,,,,,,,,,,,,,,,,
 V & G RHU , Tacloban City , -   , PH083747000 ,#N/A, health_facility ,124.930415,11.298227,124.930415,11.298227,124.9969482,11.20248274, R ,,,,,,,,,,,,,,,,,,,
 Kananga Com Hospital , Kananga , Poblacion , PH083726000 , PH083726015 , hospital_doh ,124.559690000,11.178476000,124.571170000000,11.163167000000,124.562816619870,11.184211776588, H , Leyte ,,,,,0,Not required,,,,,,,,,,,,
 Matuguinao RHU , Matuguiano ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,124.885411262512,12.144711011050, R , W.Samar ,,,,,,,,,,,0,Not required,,,,,,
 Santo Nino RHU ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, R , W.Samar ,,,,,,,,,,,0,Not required,,,,,,
 Zumarraga RHU ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, R , W.Samar ,,,,,,,,,,,0,Not required,,,,,,
